Předmět;Počátečnídatum;Začátek;Koncovédatum;Konec;Celodennízvlátníudálost;Připomenutízapnutočivypnuto;Počátečnídatum;Časpřipomenutí;Organizátorschůzek;Povinníúčastníci;Nepovinníúčastníci;Prostředkyproschůzku;Faktury;Kategorie;Popis;Priorita;Soukromé;Umístění;Utajení;Vzdálenost;Zobrazitčasjako
Vezmi a čti Dt 8–10;02.01.2014;0:00:00;03.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;02.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-02;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Dt 11–13;03.01.2014;0:00:00;04.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;03.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-03;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Dt 14–16;04.01.2014;0:00:00;05.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;04.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-04;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Dt 17–19;06.01.2014;0:00:00;07.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;06.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-06;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Dt 20–22;07.01.2014;0:00:00;08.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;07.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-07;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Dt 23–26;08.01.2014;0:00:00;09.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;08.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-08;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Dt 27–30 ;09.01.2014;0:00:00;10.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;09.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-09;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Dt 31–34 ;10.01.2014;0:00:00;11.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;10.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-10;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Jak 1–2 ;11.01.2014;0:00:00;12.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;11.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-11;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Jak 3–5 ;13.01.2014;0:00:00;14.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;13.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-13;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Joz 1–3 ;14.01.2014;0:00:00;15.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;14.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-14;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Joz 4–6 ;15.01.2014;0:00:00;16.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;15.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-15;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Joz 7–9 ;16.01.2014;0:00:00;17.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;16.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-16;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Joz 10–12 ;17.01.2014;0:00:00;18.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;17.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-17;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Joz 13–15 ;18.01.2014;0:00:00;19.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;18.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-18;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Joz 16–18 ;20.01.2014;0:00:00;21.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;20.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-20;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Joz 19–21 ;21.01.2014;0:00:00;22.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;21.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-21;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Joz 22–24 ;22.01.2014;0:00:00;23.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;22.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-22;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Mt 1–4;23.01.2014;0:00:00;24.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;23.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-23;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Mt 5–7 ;24.01.2014;0:00:00;25.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;24.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-24;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Mt 8–10 ;25.01.2014;0:00:00;26.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;25.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-25;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Mt 11–13 ;27.01.2014;0:00:00;28.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;27.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-27;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Mt 14–16 ;28.01.2014;0:00:00;29.01.2014;0:00:00;NEPRAVDA;NEPRAVDA;28.01.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-01-28;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Mt 17–19 ;01.02.2014;0:00:00;02.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;01.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-01;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Mt 20–22 ;03.02.2014;0:00:00;04.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;03.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-03;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Mt 23–25 ;04.02.2014;0:00:00;05.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;04.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-04;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Mt 26–28 ;05.02.2014;0:00:00;06.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;05.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-05;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Sd 1–3;06.02.2014;0:00:00;07.02.2014;0:00:00;NEPRAVDA;NEPRAVDA;06.02.2014;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2014-02-06;Střední;NEPRAVDA;;Normální;;3
